产品类型,资产大类,字段,字段类型,字段含义,值域,特殊规则
COMM_BARRIER,商品,PRODUCT_CODE,字符串,产品代码,,
COMM_BARRIER,商品,SETTLE_DATE,日期,结算日,,yyyyMMdd
COMM_BARRIER,商品,TOUCH_BEFORE_FLAG,字符串,触碰前标志,,
COMM_BARRIER,商品,TRADE_DATE,日期,交易日,,yyyyMMdd
COMM_BARRIER,商品,UPPER_BARRIER,浮点数,上障碍价,,Double时须>DOWN_BARRIER
COMM_BARRIER,商品,VOLATILITY_SURFACE,字符串,波动率曲面,,引用市场数据波动率曲面key
COMM_BARRIER,商品,VV_FLAG,布尔,VannaVolga开关,true/false,
COMM_DIGITAL,商品,BASE_PAYOFF,浮点数,基础赔付,,
COMM_DIGITAL,商品,BUY_OR_SELL,字符串,买卖方向,B/S,
COMM_DIGITAL,商品,CALL_OR_PUT,字符串,看涨看跌,Call/Put,
COMM_DIGITAL,商品,CONTRACT_SIZE,浮点数,合约乘数,,默认1
COMM_DIGITAL,商品,CURRENCY_CODE,字符串,货币代码,,
COMM_DIGITAL,商品,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
COMM_DIGITAL,商品,INSTRUMENT_ID,字符串,交易编号,,
COMM_DIGITAL,商品,MATURITY_DATE,日期,到期日,,yyyyMMdd
COMM_DIGITAL,商品,PAYOFF_LOWER,浮点数,下行赔付,,
COMM_DIGITAL,商品,PRICE_CURVE,字符串,价格曲线,,
COMM_DIGITAL,商品,PRODUCT_CODE,字符串,产品代码,,
COMM_DIGITAL,商品,SETTLE_DATE,日期,结算日,,yyyyMMdd
COMM_DIGITAL,商品,STRIKE_PRICE,浮点数,行权价,,正数
COMM_DIGITAL,商品,TRADE_DATE,日期,交易日,,yyyyMMdd
COMM_DIGITAL,商品,VOLATILITY_SURFACE,字符串,波动率曲面,,引用市场数据波动率曲面key
COMM_DIGITAL,商品,VV_FLAG,布尔,VannaVolga开关,true/false,
COMM_RANGE_ACCURE,商品,ABS_FLAG,布尔,绝对值标志,,
